Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/amiga/include/freetype/config,215,215,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/amiga/src/base,801,801,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/ansi,95,95,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/atari,136,136,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/beos,136,136,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/compiler,973,973,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/dos,249,249,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/mac,4029,4029,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/os2,173,173,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/symbian,202,202,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/unix,35331,35331,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/vms,659,659,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/win32,763,763,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/win32/visualc,2648,2648,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/builds/win32/visualce,14333,14333,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/devel,713,713,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/docs,6159,6159,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/docs/reference,17999,17999,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/include,39,39,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/include/freetype,16956,16956,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/include/freetype/config,2066,2066,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/include/freetype/internal,7860,7860,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/include/freetype/internal/services,1100,1100,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/objs,2,2,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src,25,25,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/autofit,10514,10514,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/base,18210,18210,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/bdf,4062,4062,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/cache,5228,5228,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/cff,8124,8124,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/cid,2695,2695,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/gxvalid,9980,9980,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/gzip,4165,4165,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/lzw,1068,1068,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/otvalid,4988,4988,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/pcf,2759,2759,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/pfr,4336,4336,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/psaux,5860,5860,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/pshinter,5246,5246,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/psnames,4881,4881,0,"100,00"
